data_name,x,y,string_about_this_point,
data2,0.11,0.03347907716150288,0.11_0.03347907716150288,
data2,0.1,0.03375069007736934,0.1_0.03375069007736934,
data2,0.09,0.034053421304671705,0.09_0.034053421304671705,
data2,0.08,0.03421976980901424,0.08_0.03421976980901424,
data2,0.07,0.034386118313356785,0.07_0.034386118313356785,
data2,0.06,0.034601641433301744,0.06_0.034601641433301744,
data2,0.05,0.034964688400053935,0.05_0.034964688400053935,
data2,0.04,0.0356174045868391,0.04_0.0356174045868391,
data2,0.03,0.036437621808019995,0.03_0.036437621808019995,
data2,0.02,0.03797356019222665,0.02_0.03797356019222665,
data2,0.01,0.04407966441398265,0.01_0.04407966441398265,
data2,0,1,0.0_1.0,
